StockID,Date,Time,open,close,high,low,vol,OI,SettleDate
IH1912,20190710,0:00:00,2899.8,2881.8,2902.6,2871.2,831,5022,20191220
IH1907,20190711,0:00:00,2893,2880.6,2914.6,2870,33095,36378,20190719
IH1908,20190711,0:00:00,2888,2876.2,2909.8,2866.6,1107,2282,20190816
IH1909,20190711,0:00:00,2888.4,2873.8,2908,2863.6,5742,17714,20190920
IH1912,20190711,0:00:00,2898.4,2884.2,2922.2,2877.4,951,5259,20191220
IH1907,20190712,0:00:00,2883,2900.2,2914.4,2876.4,34704,34919,20190719
IH1908,20190712,0:00:00,2876.2,2897.6,2909.2,2873.6,1540,2695,20190816
IH1909,20190712,0:00:00,2876,2894,2907,2870.6,6030,18103,20190920
IH1912,20190712,0:00:00,2884.2,2905.4,2917.6,2884,619,5124,20191220
IH1907,20190715,0:00:00,2880,2900.6,2924.6,2843.8,44400,36257,20190719
IH1908,20190715,0:00:00,2884.2,2897.2,2921.2,2841,4393,5342,20190816
IH1909,20190715,0:00:00,2884.8,2889.4,2915,2837.8,8007,18303,20190920
IH1912,20190715,0:00:00,2893,2886,2917.6,2852,2988,5201,20191220
IH1907,20190716,0:00:00,2897.8,2884.2,2908.8,2881,26067,29064,20190719
IH1908,20190716,0:00:00,2897.2,2881.4,2905,2878.6,3655,6417,20190816
IH1909,20190716,0:00:00,2890,2876.8,2900,2874.6,4926,18031,20190920
IH1912,20190716,0:00:00,2886,2877.2,2899.4,2873.8,1153,5163,20191220
IH1907,20190717,0:00:00,2874.8,2874.2,2892.4,2862.8,26651,24151,20190719
IH1908,20190717,0:00:00,2870,2870.2,2889,2861,7619,10581,20190816
IH1909,20190717,0:00:00,2870.4,2866.4,2883.6,2857.2,4705,17930,20190920
IH1912,20190717,0:00:00,2867,2866.8,2883.4,2857.2,612,5105,20191220
IH1907,20190718,0:00:00,2862.8,2862.2,2874.8,2855.4,20019,13226,20190719
IH1908,20190718,0:00:00,2861,2860.8,2872,2853.6,15308,17448,20190816
IH1909,20190718,0:00:00,2856.8,2856.8,2868.6,2848,4707,18345,20190920
IH1912,20190718,0:00:00,2860.2,2856.6,2868.2,2849.2,834,5141,20191220
IH1907,20190719,0:00:00,2878,2892.2,2910,2876,12132,0,20190719
IH1908,20190719,0:00:00,2877.4,2898,2909.6,2875.2,29586,30344,20190816
IH1909,20190719,0:00:00,2876.4,2894.2,2904.8,2871.2,6987,19378,20190920
IH1912,20190719,0:00:00,2876,2894.6,2914,2872.4,915,5164,20191220
IH1908,20190722,0:00:00,2897.4,2879.8,2907.8,2870,30161,30482,20190816
IH1909,20190722,0:00:00,2903.2,2876,2904.6,2866.4,6168,18895,20190920
IH1912,20190722,0:00:00,2898,2876,2905,2868.2,1009,5390,20191220
IH2003,20190722,0:00:00,2905.4,2878.8,2906,2862,128,118,20200320
IH1908,20190723,0:00:00,2884.2,2878.4,2891.4,2872.2,22417,28646,20190816
IH1909,20190723,0:00:00,2881.8,2875.2,2888.6,2869.6,4128,18174,20190920
IH1912,20190723,0:00:00,2876,2875.4,2888,2871.2,1048,5258,20191220
IH2003,20190723,0:00:00,2886,2877.8,2886,2872.2,166,220,20200320
IH1908,20190724,0:00:00,2893,2904.8,2926.6,2892.8,29666,30559,20190816
IH1909,20190724,0:00:00,2892,2902,2926.6,2891.6,8994,20301,20190920
IH1912,20190724,0:00:00,2886.2,2901.8,2923.2,2886.2,1802,5855,20191220
IH2003,20190724,0:00:00,2896.2,2903,2922.2,2896,157,266,20200320
IH1908,20190725,0:00:00,2913.2,2931.6,2932,2903.4,25827,28525,20190816
IH1909,20190725,0:00:00,2907.4,2928.8,2928.8,2901.4,5809,19372,20190920
IH1912,20190725,0:00:00,2902.6,2925.6,2926,2900.4,1028,5451,20191220
IH2003,20190725,0:00:00,2906.8,2927.6,2927.6,2902,181,361,20200320
IH1908,20190726,0:00:00,2918.2,2934.4,2942.4,2918,22039,28420,20190816
IH1909,20190726,0:00:00,2918.4,2932,2939.4,2916.4,4704,19398,20190920
IH1912,20190726,0:00:00,2916.4,2927,2937.2,2915,1046,5784,20191220
IH2003,20190726,0:00:00,2919.4,2932,2940,2917.8,134,415,20200320
IH1908,20190729,0:00:00,2930.4,2928.6,2934.4,2919,21208,26903,20190816
IH1909,20190729,0:00:00,2930.8,2926.2,2932.6,2917.2,4385,18607,20190920
IH1912,20190729,0:00:00,2921.4,2922.2,2930,2915.4,926,5759,20191220
IH2003,20190729,0:00:00,2930,2926.2,2933.6,2918.6,185,495,20200320
IH1908,20190730,0:00:00,2936,2941,2957,2935,24402,28646,20190816
IH1909,20190730,0:00:00,2930.8,2939,2952,2930.8,5313,18916,20190920
IH1912,20190730,0:00:00,2930,2936,2948.6,2930,930,5883,20191220
IH2003,20190730,0:00:00,2938,2940.8,2952.4,2936.2,142,544,20200320
IH1908,20190731,0:00:00,2930,2914.2,2930.2,2906,26385,27712,20190816
IH1909,20190731,0:00:00,2928.4,2913,2928.6,2905.2,5711,19194,20190920
IH1912,20190731,0:00:00,2924.8,2913.2,2925,2906.4,1059,5879,20191220
IH2003,20190731,0:00:00,2926.8,2913.6,2929,2911,226,638,20200320
IH1908,20190801,0:00:00,2900,2887.2,2909.8,2875,25152,29076,20190816
IH1909,20190801,0:00:00,2905.2,2885,2908.8,2875,7147,19576,20190920
IH1912,20190801,0:00:00,2900.4,2886.4,2909.6,2878,1954,6372,20191220
IH2003,20190801,0:00:00,2902.4,2892.4,2912,2881.4,532,964,20200320
IH1908,20190802,0:00:00,2831.2,2842.8,2848.6,2820.6,26027,28326,20190816
IH1909,20190802,0:00:00,2831,2838.8,2846,2820,7251,18936,20190920
IH1912,20190802,0:00:00,2835,2841,2848,2826.6,1679,6382,20191220
IH2003,20190802,0:00:00,2834,2844.8,2850,2828.2,293,951,20200320
IH1908,20190805,0:00:00,2814.6,2787,2829.8,2780.8,31254,31655,20190816
IH1909,20190805,0:00:00,2819,2784.6,2823.6,2778.8,7700,19154,20190920
IH1912,20190805,0:00:00,2823.6,2787.2,2827,2783,2197,6967,20191220
IH2003,20190805,0:00:00,2820.6,2791,2829,2785.2,247,1016,20200320
